name,address,lat,long
Spar,"[64 Ranelagh Village, Ranelagh, Dublin 6, Ireland]",53.32531222,-6.255343817
Dunnes Stores Ltd,"[St. Stephens Green, Muirfield dr, South Inner City, Dublin, Ireland]",53.3369,-6.25977
Superquinn,"[McKee Avenue, Finglas, Dublin 11, Ireland]",53.3902478,-6.298301421
Collier General Stores,"[Redcross, Wicklow, Ireland]",52.9597,-6.40288
Camden Casket,"[27 Camden Street, Harcourt, Dublin 2, Ireland]",53.335,-6.26527
Supervalu,"[27 The Rise Mount Merrion, Blackrock, Blackrock, Dublin 16, Ireland]",53.3005714,-6.2080598
Spar,"[25-26 D'Olier St, South Inner City, Dublin 2, Ireland]",53.3464317,-6.2581201
Dunnes Stores,"[The Square Town Centre, Kingswood, Tallaght, Dublin 24, Ireland]",53.2859192,-6.3615298
Superquinn,"[Superquinn Shops, Ballinteer Dundrum, South Inner City, Dublin, Ireland]",53.3441,-6.26749
Vincent Thorne & Sons,"[Smithfield, Smithfield, Smithfield, Dublin 7, Ireland]",53.3487511,-6.27841
Griffin's Londis,"[Westmoreland Street, Fleet Street, North Inner City, Dublin 2, Ireland]",53.3459511,-6.25912
The Market,"[Belarmine Sq, Belarmine Ave, North Inner City, Dublin 18, Ireland]",53.2587891,-6.2190499
Supervalu,"[Rathbourne Village Centre, Castleknock, Castleknock, Dublin, Ireland]",53.3816986,-6.3709002
David Nolan Butcher,"[213 Rathmines Road Lower, Rathmines, Dublin 6, Ireland]",53.3222694,-6.2660198
Marks & Spencer Simply Food,"[89 Lower Georges St, Dún Laoghaire, Dun Laoghaire, Co. Dublin, Ireland]",53.29359818,-6.13465023
Tesco,"[Clonmullin Industrial Estate, Edenderry, Co. Offaly, Ireland]",53.3465,-7.04402
Superquinn Ballinteer,"[Superquinn , Ballinteer, Ballinteer Avenuse, Ballinteer, Ballinteer, Dublin 16, Ireland]",53.2750282,-6.2526302
Made in Brazil,"[Moore Street Mall, North Inner City, Dublin 1, Ireland]",53.3512,-6.26337
Fruit Stalls of Camden Street,"[Camden Street, Harcourt, Dublin, Ireland]",53.3332405,-6.2649999
Golden Beach Supermarket,"[137 Parnell Street, Rotunda, Dublin 1, Ireland]",53.3538818,-6.2589898
Mooney Robt Spar,"[6 Merrion Road, Ballsbridge, Dublin 4, Ireland]",53.32915397,-6.230707333
Blackrock Market,"[19a Main Street, Blackrock, Blackrock, Co. Dublin, Ireland]",53.3013992,-6.1777301
Lidl Grocery,"[Straffan Rd, Maynooth, Co. Kildare, Ireland]",53.36944154,-6.589349442
Perestroika/Moldova,"[Mary Street, North Inner City, Dublin 1, Ireland]",53.3488197,-6.2666001
Dunnes Stores,"[Ballyogan Road, Leopardstown, Carickmines, Dublin 18, Ireland]",53.2559586,-6.1891398
